stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,39809,7580,59857,43,15,1,0,1,15,0.09947322846009525
austin1_r0c1,72464,8535,56136,55,31,2,0,4,33,0.19009100101112233
austin1_r0c2,76822,14435,74619,95,34,3,1,6,38,0.16649741710450794
austin1_r0c3,87724,33415,58490,49,35,6,1,4,34,0.10850886588123289
austin1_r0c4,61333,21177,43983,31,18,3,0,2,17,0.047331753214106154
austin1_r1c0,67552,15346,91423,123,56,9,0,12,59,0.12896328104460608
austin1_r1c1,130662,5163,84098,59,28,2,0,4,30,0.17575683294521388
austin1_r1c2,89986,25144,42472,47,26,4,0,8,30,0.16663060529020393
austin1_r1c3,31630,104791,40500,44,16,1,0,9,24,0.08824515523368873
austin1_r1c4,179840,74001,19353,6,4,1,0,2,5,0.06660448784769847
austin1_r2c0,57644,7001,139243,166,42,2,0,4,44,0.11589554884121331
austin1_r2c1,73728,14852,91157,164,72,8,2,9,75,0.1667576374071685
austin1_r2c2,77962,17060,73578,147,49,1,2,5,55,0.15035536602700783
austin1_r2c3,76966,13051,62634,161,72,9,1,4,68,0.20922791644699765
austin1_r2c4,81696,11666,81421,44,18,2,0,5,21,0.11667608818541549
austin1_r3c0,74081,9591,138235,177,57,2,0,7,62,0.13741147170986068
austin1_r3c1,94717,14448,76679,153,73,4,1,1,71,0.20377572651855314
austin1_r3c2,54252,8868,102051,163,66,4,1,6,69,0.15925919285727091
austin1_r3c3,38273,5624,78328,127,35,1,1,3,37,0.1329639889196676
austin1_r3c4,51902,12600,87205,122,36,3,0,4,37,0.09975369458128079
austin1_r4c0,52552,7537,116597,121,34,2,1,5,38,0.12319904206419716
austin1_r4c1,79765,9372,89028,121,48,1,0,4,51,0.19864429690295393
austin1_r4c2,49096,5749,90414,125,46,1,0,10,55,0.16624744706008815
austin1_r4c3,59373,7557,91311,140,48,3,0,4,49,0.16071565544220295
austin1_r4c4,85107,14844,96707,156,70,7,0,12,75,0.15191164729885567
austin2_r0c0,38102,4491,63588,49,18,0,0,2,20,0.13242205718795969
austin2_r0c1,111264,13178,113713,88,34,5,1,4,34,0.1658722414051944
austin2_r0c2,147492,11017,38866,49,27,2,0,2,27,0.25674300254452925
austin2_r0c3,67550,13630,59481,77,39,12,0,6,33,0.1130067487847468
austin2_r0c4,142505,36059,152639,152,83,48,1,11,47,0.07450639912534568
austin2_r1c0,48274,7056,71693,39,19,0,0,8,27,0.11010578138513738
austin2_r1c1,196989,18962,26980,44,36,2,0,5,39,0.2482456691593875
austin2_r1c2,65984,7456,97755,77,23,1,0,7,29,0.14317877999014986
austin2_r1c3,6849,1223,42450,28,6,0,0,3,9,0.04588209951892008
austin2_r1c4,56189,13322,142195,123,39,4,4,5,44,0.05611948018361673
austin2_r2c0,139333,23733,47647,42,31,8,0,3,26,0.13423937871174052
austin2_r2c1,113569,21799,106795,67,33,12,0,8,29,0.11090492113233312
austin2_r2c2,58056,5644,170259,111,29,3,0,10,36,0.09801991957513956
austin2_r2c3,41579,6392,128782,91,26,1,0,4,29,0.0793054806455628
austin2_r2c4,43756,4349,135869,123,32,0,1,9,41,0.09440382670918565
austin2_r3c0,106440,14224,107300,76,35,1,1,9,44,0.12954461093637057
austin2_r3c1,80332,21366,84338,75,37,7,0,3,33,0.1336126160600995
austin2_r3c2,92014,18884,59549,50,18,2,1,5,22,0.12265704873338634
austin2_r3c3,88775,15416,133609,84,39,0,0,1,40,0.1010914938753165
austin2_r3c4,50731,7660,133812,60,22,1,0,6,27,0.07102301025998606
austin2_r4c0,98919,16295,88010,107,48,3,1,3,49,0.1494524445977408
