stem,has_gt,n_spur,spur_area,fp_px,ref_fp_inst,ref_fp_px
3000,0,0,0,0,0,0
3001,0,0,0,0,0,0
30010,1,3,289,3366,3,3366
300100,1,2,160,5405,2,5405
3001000,1,3,424,3441,3,3441
3001001,1,5,1061,14032,5,14032
3001002,1,8,777,14124,8,14124
3001003,1,7,1254,8136,7,8136
3001004,1,7,856,7132,7,7132
3001005,1,5,309,9009,5,9009
3001006,1,2,198,7265,2,7265
3001007,1,1,53,1129,1,1129
3001008,1,1,62,208,1,208
3001009,1,4,521,6213,4,6213
300101,0,0,0,0,0,0
3001010,1,4,817,6319,4,6319
3001011,1,6,1730,6517,6,6517
3001012,1,2,75,419,2,419
3001013,0,0,0,0,0,0
3001014,1,0,0,176,0,176
3001015,0,0,0,0,0,0
3001016,1,1,70,370,1,370
3001017,1,5,790,10112,5,10112
3001018,1,4,254,5174,4,5174
3001019,1,3,77,6267,3,6267
300102,1,0,0,17,0,17
3001020,1,4,653,7075,4,7075
3001021,1,1,43,1100,1,1100
3001022,1,3,435,6896,3,6896
3001023,1,7,1014,14065,7,14065
3001024,1,10,1947,11970,10,11970
3001025,1,4,715,5554,4,5554
3001026,1,4,375,2667,4,2667
3001027,1,2,112,396,2,396
3001028,1,3,198,267,3,267
3001029,1,1,22,375,1,375
300103,1,0,0,809,0,809
3001030,1,10,1015,6379,10,6379
3001031,1,5,1237,10490,5,10490
3001032,1,3,788,9980,3,9980
3001033,1,4,124,1690,4,1690
3001034,1,0,0,165,0,165
3001035,0,0,0,0,0,0
3001036,1,0,0,3158,0,3158
3001037,1,0,0,127,0,127
3001038,1,0,0,172,0,172
3001039,1,2,693,2530,2,2530
300104,1,0,0,67,0,67
3001040,1,0,0,549,0,549
3001041,1,2,228,3887,2,3887
3001042,1,1,48,6023,1,6023
3001043,1,3,881,6927,3,6927
3001044,1,5,928,11222,5,11222
3001045,1,9,1065,11111,9,11111
3001046,1,2,263,6057,2,6057
3001047,1,1,71,890,1,890
3001048,1,0,0,198,0,198
3001049,1,2,288,1429,2,1429
300105,1,2,122,2383,2,2383
3001050,1,9,2750,8212,9,8212
3001051,1,5,1882,10762,5,10762
3001052,1,9,1336,12005,9,12005
3001053,1,5,1359,11442,5,11442
3001054,1,3,267,6967,3,6967
3001055,1,1,40,230,1,230
3001056,0,0,0,0,0,0
3001057,0,0,0,0,0,0
3001058,1,0,0,3446,0,3446
3001059,1,2,157,1882,2,1882
300106,1,2,397,5001,2,5001
3001060,1,0,0,21,0,21
3001061,1,0,0,419,0,419
3001062,0,0,0,0,0,0
3001063,1,0,0,194,0,194
3001064,1,0,0,16,0,16
3001065,1,0,0,422,0,422
3001066,1,3,210,4101,3,4101
3001067,1,2,64,4293,2,4293
3001068,1,0,0,754,0,754
3001069,0,0,0,0,0,0
300107,1,3,626,11286,3,11286
3001070,0,0,0,0,0,0
3001071,1,6,740,2912,6,2912
3001072,1,13,1986,10017,13,10017
3001073,1,11,2205,12073,11,12073
3001074,1,7,1268,15167,7,15167
3001075,1,8,1590,10816,8,10816
3001076,1,1,21,4947,1,4947
3001077,0,0,0,0,0,0
3001078,0,0,0,0,0,0
3001079,1,2,235,519,2,519
300108,1,4,207,15554,4,15554
3001080,1,3,830,9248,3,9248
3001081,1,4,421,13088,4,13088
3001082,1,1,112,3958,1,3958
3001083,1,2,2293,7944,2,7944
3001084,1,2,1646,4547,2,4547
3001085,1,0,0,49,0,49
3001086,1,0,0,358,0,358
3001087,0,0,0,0,0,0
3001088,0,0,0,0,0,0
3001089,0,0,0,0,0,0
300109,1,1,88,4598,1,4598
3001090,0,0,0,0,0,0
3001091,0,0,0,0,0,0
3001092,1,0,0,0,0,0
3001093,1,8,3005,6375,8,6375
3001094,1,11,2661,12081,11,12081
3001095,1,10,1174,11505,10,11505
3001096,1,10,1336,12259,10,12259
3001097,1,4,485,12286,4,12286
3001098,1,1,66,2544,1,2544
3001099,0,0,0,0,0,0
30011,1,6,509,6231,6,6231
300110,1,0,0,62,0,62
3001100,0,0,0,0,0,0
3001101,1,0,0,2747,0,2747
3001102,1,7,543,9802,7,9802
3001103,1,2,318,8330,2,8330
3001104,1,1,325,5079,1,5079
3001105,1,5,1181,11617,5,11617
3001106,1,4,813,11211,4,11211
3001107,1,1,170,3427,1,3427
3001108,0,0,0,0,0,0
3001109,0,0,0,0,0,0
300111,1,5,1053,2718,5,2718
3001110,1,0,0,122,0,122
3001111,0,0,0,0,0,0
3001112,0,0,0,0,0,0
3001113,0,0,0,0,0,0
3001114,1,1,20,20,1,20
3001115,1,3,1648,6909,3,6909
3001116,1,11,2460,14785,11,14785
3001117,1,8,856,12944,8,12944
3001118,1,4,274,13352,4,13352
3001119,1,8,663,11822,8,11822
300112,1,5,883,5399,5,5399
3001120,1,4,776,5921,4,5921
3001121,1,0,0,530,0,530
3001122,0,1,207,207,1,207
3001123,1,3,224,6256,3,6256
3001124,1,9,1864,13513,9,13513
3001125,1,6,602,9310,6,9310
3001126,1,5,564,7329,5,7329
3001127,1,14,1493,10344,14,10344
3001128,1,13,2928,15434,13,15434
3001129,1,4,281,7051,4,7051
300113,1,17,19031,20719,17,20719
3001130,0,0,0,0,0,0
3001131,1,0,0,23,0,23
3001132,0,0,0,0,0,0
3001133,0,0,0,0,0,0
3001134,0,0,0,0,0,0
3001135,0,0,0,0,0,0
3001136,1,2,42,2278,2,2278
3001137,1,7,1574,6729,7,6729
3001138,1,5,1906,10508,5,10508
3001139,1,12,2586,10891,12,10891
300114,1,26,47944,50449,26,50449
3001140,1,7,619,14397,7,14397
3001141,1,5,973,10152,5,10152
3001142,1,5,669,10512,5,10512
3001143,1,2,532,4778,2,4778
3001144,1,2,171,3222,2,3222
3001145,1,2,316,8514,2,8514
3001146,1,8,1615,9168,8,9168
3001147,1,7,2084,11133,7,11133
3001148,1,7,1570,10819,7,10819
3001149,1,6,818,10053,6,10053
300115,1,6,3264,4324,6,4324
3001150,1,7,291,9955,7,9955
3001151,1,3,398,5038,3,5038
3001152,0,0,0,0,0,0
3001153,1,1,34,251,1,251
3001154,0,0,0,0,0,0
3001155,0,0,0,0,0,0
3001156,0,0,0,0,0,0
3001157,1,1,52,1564,1,1564
3001158,1,7,1557,8748,7,8748
3001159,1,4,238,8074,4,8074
300116,1,5,6172,8222,5,8222
3001160,1,5,420,10060,5,10060
3001161,1,10,1199,14232,10,14232
3001162,1,7,482,12012,7,12012
3001163,1,5,795,9049,5,9049
3001164,1,5,658,7177,5,7177
3001165,1,4,718,5739,4,5739
3001166,1,6,1320,13989,6,13989
3001167,1,1,26,8849,1,8849
3001168,1,8,1387,10367,8,10367
3001169,1,8,1229,12510,8,12510
300117,1,4,588,10118,4,10118
3001170,1,12,2151,11287,12,11287
3001171,1,13,1906,11473,13,11473
3001172,1,10,1627,10606,10,10606
3001173,1,5,685,6178,5,6178
3001174,1,1,319,2576,1,2576
3001175,1,1,152,5970,1,5970
3001176,1,0,0,1280,0,1280
3001177,1,0,0,30,0,30
3001178,0,0,0,0,0,0
3001179,1,1,446,3417,1,3417
300118,1,2,1180,4188,2,4188
3001180,1,2,120,6196,2,6196
3001181,1,0,0,2210,0,2210
3001182,1,5,544,6815,5,6815
3001183,1,6,754,11356,6,11356
3001184,1,8,1576,19164,8,19164
3001185,1,2,193,9955,2,9955
3001186,1,2,229,6731,2,6731
3001187,1,3,205,5956,3,5956
3001188,1,7,687,9585,7,9585
3001189,1,5,827,9603,5,9603
300119,1,2,1052,1244,2,1244
3001190,1,7,456,9335,7,9335
3001191,1,5,1188,12641,5,12641
3001192,1,7,771,8661,7,8661
3001193,1,9,462,8458,9,8458
3001194,1,2,992,7708,2,7708
3001195,1,1,133,5328,1,5328
3001196,1,0,0,1526,0,1526
3001197,1,1,115,1838,1,1838
3001198,1,0,0,579,0,579
3001199,0,0,0,0,0,0
30012,1,1,136,5242,1,5242
300120,1,1,21,104,1,104
3001200,1,0,0,29,0,29
3001201,1,0,0,4264,0,4264
3001202,1,1,24,78,1,78
3001203,1,0,0,137,0,137
3001204,1,2,274,5182,2,5182
3001205,1,7,1069,11962,7,11962
3001206,1,7,1846,20873,7,20873
3001207,1,7,1069,14390,7,14390
3001208,1,6,779,12501,6,12501
3001209,1,2,75,4763,2,4763
300121,1,0,0,637,0,637
3001210,1,2,203,2801,2,2801
3001211,1,1,64,1289,1,1289
3001212,1,1,35,1641,1,1641
3001213,1,4,198,10067,4,10067
3001214,1,4,638,7571,4,7571
3001215,1,3,714,8080,3,8080
3001216,1,4,676,9220,4,9220
3001217,1,4,384,9115,4,9115
3001218,1,1,50,5904,1,5904
3001219,0,0,0,0,0,0
300122,1,0,0,102,0,102
3001220,0,0,0,0,0,0
3001221,0,0,0,0,0,0
3001222,1,0,0,412,0,412
3001223,1,1,19,728,1,728
3001224,0,0,0,0,0,0
3001225,0,0,0,0,0,0
3001226,1,2,422,5532,2,5532
3001227,1,7,3126,9963,7,9963
3001228,1,8,3173,14966,8,14966
3001229,1,5,762,10921,5,10921
300123,0,0,0,0,0,0
3001230,1,3,331,10178,3,10178
3001231,1,6,838,5125,6,5125
3001232,1,0,0,55,0,55
3001233,1,0,0,399,0,399
3001234,1,2,327,3036,2,3036
3001235,1,8,920,12000,8,12000
3001236,1,2,127,7190,2,7190
3001237,1,1,144,3284,1,3284
3001238,1,4,424,6681,4,6681
3001239,1,3,190,6386,3,6386
300124,0,1,1840,1840,1,1840
3001240,1,1,129,2785,1,2785
3001241,0,0,0,0,0,0
3001242,0,0,0,0,0,0
3001243,0,0,0,0,0,0
3001244,0,0,0,0,0,0
3001245,1,2,4481,5226,2,5226
3001246,1,0,0,659,0,659
3001247,1,0,0,1478,0,1478
3001248,1,3,159,10205,3,10205
3001249,1,6,8824,15137,6,15137
300125,1,0,0,1045,0,1045
3001250,1,6,4121,14833,6,14833
3001251,1,6,941,9551,6,9551
3001252,1,10,1225,8591,10,8591
3001253,1,3,313,4265,3,4265
3001254,1,0,0,0,0,0
3001255,1,1,93,2220,1,2220
3001256,1,1,16,8975,1,8975
3001257,1,2,391,8142,2,8142
3001258,1,3,164,4427,3,4427
3001259,0,0,0,0,0,0
300126,1,0,0,3524,0,3524
3001260,1,1,16,1159,1,1159
3001261,1,1,40,1342,1,1342
3001262,1,0,0,196,0,196
3001263,0,0,0,0,0,0
3001264,0,0,0,0,0,0
3001265,0,0,0,0,0,0
3001266,0,0,0,0,0,0
3001267,1,0,0,129,0,129
3001268,1,1,25,478,1,478
3001269,1,3,608,7547,3,7547
300127,1,4,692,9582,4,9582
3001270,1,9,1280,12869,9,12869
3001271,1,9,1476,10225,9,10225
3001272,1,7,403,9527,7,9527
3001273,1,2,151,9103,2,9103
3001274,1,7,2298,11612,7,11612
3001275,1,6,645,4239,6,4239
3001276,1,0,0,0,0,0
3001277,1,2,351,4438,2,4438
3001278,1,4,308,10406,4,10406
3001279,1,2,94,9260,2,9260
300128,1,2,441,10590,2,10590
3001280,1,2,281,4423,2,4423
3001281,0,0,0,0,0,0
3001282,0,0,0,0,0,0
3001283,0,0,0,0,0,0
3001284,0,0,0,0,0,0
3001285,1,0,0,35,0,35
3001286,0,0,0,0,0,0
3001287,1,0,0,403,0,403
3001288,1,1,51,3132,1,3132
3001289,1,3,257,1913,3,1913
300129,1,3,334,9621,3,9621
3001290,1,3,87,5400,3,5400
3001291,1,4,731,11171,4,11171
3001292,1,6,573,13709,6,13709
3001293,1,4,229,8589,4,8589
3001294,1,2,289,6663,2,6663
3001295,1,2,574,7355,2,7355
3001296,1,5,649,7734,5,7734
3001297,1,2,182,5253,2,5253
3001298,1,2,311,501,2,501
3001299,1,3,419,7185,3,7185
30013,1,3,502,3409,3,3409
300130,1,4,453,10462,4,10462
3001300,1,4,215,9476,4,9476
3001301,1,9,1277,12492,9,12492
3001302,1,3,403,4652,3,4652
3001303,0,0,0,0,0,0
3001304,0,0,0,0,0,0
3001305,0,0,0,0,0,0
3001306,0,0,0,0,0,0
3001307,1,0,0,69,0,69
3001308,1,1,94,220,1,220
3001309,1,1,94,5572,1,5572
300131,1,1,25,6624,1,6624
3001310,1,2,399,9419,2,9419
3001311,1,9,828,8626,9,8626
3001312,1,4,336,9925,4,9925
3001313,1,2,354,9829,2,9829
3001314,1,3,158,10926,3,10926
3001315,1,3,226,8512,3,8512
3001316,1,1,55,69,1,69
3001317,1,2,108,1209,2,1209
3001318,1,4,225,8675,4,8675
3001319,1,2,309,6130,2,6130
300132,1,9,5748,8668,9,8668
3001320,1,4,118,4054,4,4054
3001321,1,3,387,11229,3,11229
3001322,1,5,252,11839,5,11839
3001323,1,4,366,10887,4,10887
3001324,1,4,449,4155,4,4155
3001325,0,0,0,0,0,0
3001326,0,0,0,0,0,0
3001327,0,0,0,0,0,0
3001328,0,0,0,0,0,0
3001329,1,0,0,86,0,86
300133,1,3,3032,4473,3,4473
3001330,1,0,0,4530,0,4530
3001331,1,2,70,9291,2,9291
3001332,1,2,89,9653,2,9653
3001333,1,4,331,10353,4,10353
3001334,1,2,146,7937,2,7937
3001335,1,3,310,10454,3,10454
3001336,1,2,284,10674,2,10674
3001337,1,1,137,6800,1,6800
3001338,0,0,0,0,0,0
3001339,1,3,536,1016,3,1016
300134,1,8,9567,13329,8,13329
3001340,1,4,581,8867,4,8867
3001341,1,1,278,4439,1,4439
3001342,1,2,83,2252,2,2252
3001343,1,1,172,7976,1,7976
3001344,1,9,3307,10762,9,10762
3001345,1,7,2953,11225,7,11225
3001346,1,5,555,6459,5,6459
3001347,1,0,0,64,0,64
3001348,0,0,0,0,0,0
3001349,0,0,0,0,0,0
300135,1,9,41344,47847,9,47847
3001350,1,1,90,468,1,468
3001351,1,1,104,3552,1,3552
3001352,1,1,203,7630,1,7630
3001353,1,6,307,12323,6,12323
3001354,1,6,833,11334,6,11334
3001355,1,3,381,6400,3,6400
3001356,1,2,300,8628,2,8628
3001357,1,9,1326,10565,9,10565
3001358,1,3,546,13010,3,13010
3001359,1,0,0,8828,0,8828
300136,1,14,27654,30835,14,30835
3001360,0,0,0,0,0,0
3001361,1,2,306,5367,2,5367
3001362,1,2,140,7576,2,7576
3001363,1,2,49,3705,2,3705
3001364,1,2,155,4015,2,4015
3001365,1,5,289,8070,5,8070
3001366,1,5,1233,15180,5,15180
3001367,1,1,467,18129,1,18129
3001368,1,4,1028,7486,4,7486
3001369,1,2,431,749,2,749
300137,1,8,4593,6119,8,6119
