stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,37577,4772,62089,43,15,0,0,1,16,0.09977670264235207
austin1_r0c1,58675,6997,69925,55,31,0,1,2,34,0.16184162510643474
austin1_r0c2,74243,7744,77198,95,41,4,0,5,42,0.1759957063309256
austin1_r0c3,80048,20860,66166,49,33,5,0,3,31,0.10009561672789492
austin1_r0c4,46431,17202,58885,31,15,2,0,4,17,0.03412304165074513
austin1_r1c0,62605,8893,96370,123,52,7,0,7,52,0.13562222384038447
austin1_r1c1,127560,3859,87200,59,23,0,0,3,26,0.17226917865668753
austin1_r1c2,79310,8181,53148,47,23,2,0,2,23,0.17173899623433544
austin1_r1c3,33015,4306,39115,44,17,1,0,3,19,0.11514962315479642
austin1_r1c4,185068,21508,14125,6,4,1,0,0,3,0.05970739422696718
austin1_r2c0,52361,5397,144526,166,44,2,0,5,47,0.11539315290702638
austin1_r2c1,66161,10144,98724,164,69,8,0,3,62,0.16411000552791596
austin1_r2c2,71267,10291,80273,147,48,0,0,7,55,0.15178620324565087
austin1_r2c3,70378,8213,69222,161,67,5,2,3,67,0.19971096659440832
austin1_r2c4,85726,12793,77391,44,19,3,0,1,17,0.14842875591907018
austin1_r3c0,66167,8318,146149,177,53,2,0,11,62,0.13275166078637043
austin1_r3c1,92439,12661,78957,153,77,5,0,3,75,0.203425012973534
austin1_r3c2,56846,9076,99457,163,67,8,1,2,62,0.16434281125670694
austin1_r3c3,42481,6636,74120,127,40,2,0,7,45,0.14182870536461697
austin1_r3c4,43331,6656,95776,122,29,1,0,2,29,0.08994661522587591
austin1_r4c0,46736,4782,122413,121,30,2,0,3,31,0.11984141286718328
austin1_r4c1,80098,6716,88695,121,53,2,0,5,56,0.21621892743213691
austin1_r4c2,44346,5481,95164,125,38,3,0,8,43,0.14384909665863205
austin1_r4c3,54167,5240,96517,140,48,2,0,1,46,0.15178746615390654
austin1_r4c4,73751,11871,108063,156,61,4,0,5,62,0.1311142245692907
austin2_r0c0,43520,5656,58170,49,21,0,1,1,23,0.14219441906234626
austin2_r0c1,105223,13346,119754,88,30,4,1,5,32,0.1455323598900035
austin2_r0c2,141824,9430,44534,49,28,2,0,0,26,0.24558987815333455
austin2_r0c3,60793,12369,66238,77,40,8,0,2,34,0.10255191750225728
austin2_r0c4,142679,35538,152465,152,79,44,1,7,43,0.06896288126153477
austin2_r1c0,61698,10466,58269,39,19,1,0,2,20,0.10617180175228735
austin2_r1c1,179955,23132,44014,44,33,2,2,1,34,0.2173127603502508
austin2_r1c2,65149,4734,98590,77,30,1,2,7,38,0.14228122610690205
austin2_r1c3,11021,1947,38278,28,9,0,0,0,9,0.057144784779382
austin2_r1c4,54340,9923,144044,123,34,1,2,3,38,0.05068690175073154
austin2_r2c0,112120,28354,74860,42,26,10,0,9,25,0.10742433428158374
austin2_r2c1,112518,16668,107846,67,33,11,1,3,26,0.11443251642065118
austin2_r2c2,85345,10284,142970,111,43,3,1,9,50,0.12730296620432416
austin2_r2c3,41698,3997,128663,91,25,0,0,2,27,0.08629528002892817
austin2_r2c4,44252,3820,135373,123,37,0,1,4,42,0.09492140266021766
austin2_r3c0,93989,12254,119751,76,32,1,0,4,35,0.12048511486885212
austin2_r3c1,75917,16356,88753,75,38,2,0,8,44,0.11519701318773962
austin2_r3c2,94727,21252,56836,50,22,5,0,6,23,0.12301653121026151
austin2_r3c3,89537,15049,132847,84,40,0,0,3,43,0.10500932085991346
austin2_r3c4,54787,6752,129756,60,23,3,2,1,23,0.07516988244630722
austin2_r4c0,78591,9286,108338,107,43,0,0,3,46,0.1430316511085181
austin2_r4c1,56091,8092,67737,66,28,2,2,2,30,0.130460927083061
austin2_r4c2,52283,8087,86616,80,31,3,1,3,32,0.13843499691928526
austin2_r4c3,72540,13810,113238,89,43,4,0,3,42,0.09275972905733017
austin2_r4c4,44492,9393,113275,58,16,2,0,10,24,0.042614019472988644
austin3_r0c0,20733,4569,43309,14,5,0,0,2,7,0.04160506863780359
austin3_r0c1,32532,5446,24045,22,15,3,0,1,13,0.14178322755561032
austin3_r0c2,79079,10357,113011,75,37,5,0,3,35,0.12033203740674582
austin3_r0c3,26791,1853,107279,65,17,0,0,3,20,0.07288060363959166
austin3_r0c4,45424,5420,123541,96,34,1,1,2,36,0.09500905740520957
austin3_r1c0,29006,3064,45220,32,16,0,0,2,18,0.12040564769161811
austin3_r1c1,55454,7422,84984,47,16,3,1,7,21,0.10928556999528652
austin3_r1c2,58562,5727,100468,79,34,1,0,2,35,0.13795601673327257
austin3_r1c3,42701,10140,130473,83,26,3,1,3,27,0.08169913628667567
austin3_r1c4,36339,3917,210028,140,29,5,0,5,29,0.060815932740679486
austin3_r2c0,51909,7142,136104,77,29,1,0,4,32,0.08077526327582343
austin3_r2c1,47678,4019,134887,81,23,0,0,2,25,0.11062354023639323
austin3_r2c2,27356,3076,100411,71,22,2,0,2,22,0.09539671107910215
austin3_r2c3,57991,7273,158388,116,34,2,0,5,37,0.10352571300247025
austin3_r2c4,20093,1930,180474,86,16,0,0,2,18,0.04179250499808584
austin3_r3c0,14182,3689,132814,67,9,1,1,2,11,0.03633742755037689
austin3_r3c1,81161,7125,119052,106,40,1,0,4,43,0.1681981768026453
austin3_r3c2,64827,13929,121478,114,44,6,0,4,42,0.11639232662465744
austin3_r3c3,72250,12157,144045,154,39,4,0,5,40,0.0965450584517198
austin3_r3c4,64640,7652,139035,110,28,1,0,1,28,0.06252509398839289
austin3_r4c0,23643,1605,83760,47,11,0,0,0,11,0.09734803459441735
austin3_r4c1,61613,9081,140486,102,32,4,0,4,32,0.13326067211625794
austin3_r4c2,161136,31819,69925,73,41,7,0,3,37,0.19263788844552693
austin3_r4c3,87144,16502,47809,48,25,1,1,5,30,0.13582739623294585
austin3_r4c4,83459,14842,103144,122,52,2,0,5,55,0.10058929028952088
austin4_r0c0,134221,28020,48547,23,17,1,0,3,19,0.07616014558689718
austin4_r0c1,36932,3489,76145,40,14,0,1,5,20,0.12951906523570564
austin4_r0c2,13036,1887,66808,31,6,0,0,1,7,0.05183699324324324
austin4_r0c3,0,0,1544,4,0,0,0,0,0,0.0
austin4_r0c4,8780,852,3904,9,6,0,0,1,7,0.20217155266015202
austin4_r1c0,127870,46167,52643,23,13,1,1,1,14,0.06276046697761709
austin4_r1c1,53115,6907,13772,18,12,3,0,5,14,0.15395112268949263
austin4_r1c2,34547,637,21067,5,3,0,0,0,3,0.10042695377761277
austin4_r1c3,6317,1123,4502,2,1,0,0,0,1,0.10640608034744843
austin4_r1c4,0,0,0,0,0,0,0,0,0,nan
austin4_r2c0,59400,13305,36095,12,9,1,0,14,22,0.09115895556573522
austin4_r2c1,52508,4891,68677,20,11,0,0,6,17,0.12116118480828639
austin4_r2c2,237369,17528,15737,12,11,1,1,0,11,0.10277070540661974
austin4_r2c3,19867,2879,1322,3,2,0,0,0,2,0.14877384196185287
austin4_r2c4,15776,1609,2957,4,4,1,0,1,4,0.13269615470104468
austin4_r3c0,163961,33103,57691,25,15,0,0,4,19,0.0385997357992074
austin4_r3c1,30751,4932,42250,21,13,1,0,6,18,0.09670781893004116
austin4_r3c2,31272,6847,39248,29,14,1,0,1,14,0.10717757200593442
austin4_r3c3,48605,9420,82688,49,24,3,0,1,22,0.09475300027909574
austin4_r3c4,164091,32637,63628,72,57,4,1,4,58,0.1542297138377107
austin4_r4c0,73076,13217,104393,54,28,0,0,9,37,0.07357962726786522
austin4_r4c1,32637,3917,60168,35,16,0,0,3,19,0.11360582549521044
austin4_r4c2,70294,8884,103535,63,27,2,0,3,28,0.11846598994402809
austin4_r4c3,42631,3918,167264,87,17,1,0,3,19,0.08899574333911399
austin4_r4c4,94143,12784,134660,88,45,0,1,9,55,0.11942233820120914
austin5_r0c0,48114,11899,48664,36,22,1,1,6,28,0.11830927550245182
austin5_r0c1,23031,5722,11818,8,4,1,0,1,4,0.08985818138481706
austin5_r0c2,16326,548,1338,7,2,0,0,0,2,0.3944716383530089
austin5_r0c3,34167,2180,12100,12,3,0,0,3,6,0.17150092081031307
austin5_r0c4,82267,8936,140540,126,19,0,0,4,23,0.05320106644506769
austin5_r1c0,44430,8904,90890,52,24,0,0,5,29,0.08326355161056216
austin5_r1c1,59923,7432,59398,44,24,1,1,11,35,0.13685379004123058
austin5_r1c2,12931,2361,5282,8,3,0,0,2,5,0.12707594700503824
austin5_r1c3,3954,316,5854,4,1,0,1,0,2,0.01166902404526167
austin5_r1c4,34554,5797,148009,53,9,0,0,1,10,0.027427455357142857
austin5_r2c0,47307,8351,72155,53,28,3,0,2,27,0.10928340710611317
austin5_r2c1,69273,12108,59794,46,27,0,0,3,30,0.1331829715252326
austin5_r2c2,54189,7199,38486,31,19,0,2,2,23,0.2050348567002324
austin5_r2c3,3492,151,10967,7,1,0,0,0,1,0.10005224660397075
austin5_r2c4,21867,6977,97954,24,8,0,0,1,9,0.04593728927848955
austin5_r3c0,19903,2075,46647,38,10,0,0,0,10,0.0898094950105836
austin5_r3c1,54695,7030,76359,44,20,0,0,7,27,0.11260246824610395
austin5_r3c2,49667,7940,52468,34,19,0,0,1,20,0.13927673564107523
austin5_r3c3,43087,7490,33942,28,14,0,1,6,21,0.14519801759164175
austin5_r3c4,0,1239,611,4,0,0,0,1,1,0.0
austin5_r4c0,39355,7562,113290,54,17,0,1,5,23,0.05519441069258809
austin5_r4c1,57219,9185,72993,47,23,0,1,3,27,0.13743083595035144
austin5_r4c2,50177,4497,83712,42,16,0,1,6,23,0.12242506475885037
austin5_r4c3,43747,8054,43779,27,17,1,2,2,20,0.14822167080231596
austin5_r4c4,13663,2708,10169,12,5,1,0,1,5,0.09315143998897617
chicago1_r0c0,167280,52401,134073,348,237,125,0,27,139,0.11489799356308794
chicago1_r0c1,149547,31073,153368,312,192,67,0,7,132,0.13482375663930468
chicago1_r0c2,121685,27962,156265,326,168,61,1,10,118,0.12026912513910584
chicago1_r0c3,152886,36622,78840,187,124,78,2,8,56,0.1263222558508885
chicago1_r0c4,103028,8099,150356,79,35,15,1,6,27,0.09803212983343737
chicago1_r1c0,238295,30982,79599,207,158,73,0,6,91,0.12108893816210889
chicago1_r1c1,83139,20107,69166,169,110,20,0,6,96,0.13671261405954924
chicago1_r1c2,114352,31538,50088,205,164,39,0,6,131,0.15261160560270476
chicago1_r1c3,149910,27726,77039,62,29,12,0,4,21,0.08394728345416655
chicago1_r1c4,22455,2657,83361,3,2,0,0,3,5,0.0153971771841829
chicago1_r2c0,47304,7068,168916,9,2,0,0,6,8,0.021552170759506786
chicago1_r2c1,26040,18108,15213,14,4,0,0,1,5,0.045242766061794996
chicago1_r2c2,143116,9531,59350,6,4,0,0,1,5,0.024849274890011406
chicago1_r2c3,82063,46535,85933,21,10,2,0,9,17,0.04134523706336136
chicago1_r2c4,32908,46615,21461,5,4,0,0,6,10,0.04197857038015559
chicago1_r3c0,1381,1189,8779,5,1,0,0,1,2,0.017758046614872364
chicago1_r3c1,224137,76406,57443,13,7,5,0,5,7,0.012847608453837598
chicago1_r3c2,6686,1226,40619,22,3,0,0,0,3,0.004535594557286532
chicago1_r3c3,12977,5872,10249,10,4,0,0,3,7,0.03397198518757044
chicago1_r3c4,6148,30075,1522,3,2,0,0,4,6,0.04081632653061224
chicago1_r4c0,1927,197,2146,4,1,0,0,0,1,0.033031088082901554
chicago1_r4c1,669,21,8371,3,1,0,0,1,2,0.025826914363389217
chicago1_r4c2,5750,509,12692,6,2,0,0,0,2,0.08163804491413475
chicago1_r4c3,69496,4997,10768,10,2,1,0,1,2,0.05625137332454406
chicago1_r4c4,76188,8875,95393,20,7,0,1,3,11,0.03980967486122125
chicago2_r0c0,287961,22977,120372,47,16,5,2,9,22,0.06981434981270325
chicago2_r0c1,113746,23390,55521,72,25,8,0,6,23,0.06746174764915959
chicago2_r0c2,143859,31851,99812,229,144,41,0,11,114,0.12240011105198621
chicago2_r0c3,173557,45548,83762,189,126,56,2,15,87,0.10029792697672679
chicago2_r0c4,173376,53699,158986,327,196,102,2,26,122,0.08279906439833745
chicago2_r1c0,138156,45521,142700,257,148,55,3,13,109,0.06840733791953305
chicago2_r1c1,191835,67278,124886,261,177,101,4,15,95,0.07874745398829293
chicago2_r1c2,210988,70608,100199,312,237,116,5,9,135,0.09354453567106082
chicago2_r1c3,160129,44370,137340,238,155,51,1,11,116,0.07471003425929748
chicago2_r1c4,207807,74785,129681,292,210,114,5,13,114,0.0794566202958691
chicago2_r2c0,201069,96704,163985,289,197,136,2,19,82,0.05779906484773129
chicago2_r2c1,267846,82454,144164,217,167,118,4,9,62,0.0726582791815926
chicago2_r2c2,300212,162681,82597,285,240,189,1,17,69,0.06155485235422265
chicago2_r2c3,340289,180323,64394,247,201,153,2,7,57,0.06725619305547144
chicago2_r2c4,237530,98539,146710,276,212,158,6,9,69,0.060005463854837716
chicago2_r3c0,189119,81862,133019,337,234,150,5,10,99,0.06901249164653267
chicago2_r3c1,201951,83062,120196,342,271,192,7,13,99,0.07858695188988793
chicago2_r3c2,159696,69976,150618,339,205,135,3,17,90,0.0604738264756285
chicago2_r3c3,178820,97040,138239,286,202,122,3,15,98,0.06502244153155645
chicago2_r3c4,148101,58709,184130,347,207,129,3,14,95,0.0627631601560486
chicago2_r4c0,209775,95113,122923,340,232,150,2,14,98,0.08337189176220589
chicago2_r4c1,205524,63000,140369,402,274,170,4,12,119,0.08062962260572729
chicago2_r4c2,206283,77477,120779,312,219,119,1,12,113,0.07488704750406995
chicago2_r4c3,184408,61430,133189,346,212,123,5,13,107,0.07698713482095818
chicago2_r4c4,173860,52130,173272,398,248,155,3,20,116,0.07475512055901537
chicago3_r0c0,64392,24559,85221,133,68,31,0,5,42,0.0645566287993844
chicago3_r0c1,82525,12490,110254,117,40,8,0,11,43,0.05271585689604315
chicago3_r0c2,75897,28852,101205,68,28,5,0,9,32,0.050559215566110004
chicago3_r0c3,59344,34961,106518,95,36,12,1,8,33,0.0404404941123095
chicago3_r0c4,106742,38642,75246,87,34,12,0,1,23,0.04150254164557798
chicago3_r1c0,101842,34650,132316,213,113,41,2,9,83,0.08343035043886614
chicago3_r1c1,70174,24341,139111,174,65,22,0,12,55,0.053828931093331665
chicago3_r1c2,71014,37110,153122,157,38,5,0,5,38,0.03149211023911916
chicago3_r1c3,34401,16374,169381,171,46,7,1,5,45,0.041628530334728034
chicago3_r1c4,81983,32313,109307,149,68,27,0,7,48,0.08524073819243766
chicago3_r2c0,66636,17995,98029,162,73,29,0,9,53,0.06539191358925704
chicago3_r2c1,68110,24369,151741,134,36,6,0,9,39,0.0311733870164039
chicago3_r2c2,39137,15475,159126,144,33,7,2,12,40,0.030554626843493443
chicago3_r2c3,77315,34093,196097,185,40,12,0,10,38,0.024653735611432862
chicago3_r2c4,81757,28020,146294,188,83,34,0,13,62,0.049822673997020395
chicago3_r3c0,80951,8957,175927,214,46,7,0,9,48,0.0677958918430198
chicago3_r3c1,85343,17829,159533,162,62,10,0,8,60,0.056144099231431197
chicago3_r3c2,56268,21277,217577,211,63,27,2,8,46,0.038347082532866235
chicago3_r3c3,66323,28234,154241,139,60,21,3,13,55,0.04890291122902624
chicago3_r3c4,72718,15983,139865,119,51,13,4,9,51,0.06389462635018454
chicago3_r4c0,76825,20177,214247,273,77,17,0,4,64,0.056512538114959265
chicago3_r4c1,64882,15408,183766,124,43,3,4,12,56,0.03386129691886459
chicago3_r4c2,85629,28077,155036,121,38,5,1,8,42,0.0295056754542871
chicago3_r4c3,109258,25280,134715,141,61,27,2,5,41,0.05068010553089306
chicago3_r4c4,106129,26108,137030,148,63,21,0,9,51,0.055971473997808066
chicago4_r0c0,75995,10511,162840,176,66,20,1,12,59,0.08005228378476509
chicago4_r0c1,56936,13214,201737,164,43,12,1,17,49,0.032141253494401716
chicago4_r0c2,30682,10390,45812,39,16,3,1,2,16,0.040967616074912214
chicago4_r0c3,33404,12275,84640,31,12,2,0,2,12,0.02884486979746272
chicago4_r0c4,76689,26842,106654,73,40,6,3,3,40,0.046666404900267
