stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,17158,83356,82508,43,14,0,1,31,46,0.03904388224249573
austin1_r0c1,39995,4290,88605,55,19,0,1,12,32,0.13198350206224221
austin1_r0c2,45251,12957,106190,95,27,1,1,7,34,0.11816030073792175
austin1_r0c3,39070,8384,107144,49,16,1,0,13,28,0.07489274654089838
austin1_r0c4,20246,5245,85070,31,13,1,0,12,24,0.029473276529821842
austin1_r1c0,33981,5042,124994,123,31,1,1,7,38,0.09188562900121755
austin1_r1c1,66553,3302,148207,59,18,1,0,14,31,0.11555097247285956
austin1_r1c2,47745,34302,84713,47,15,1,1,11,26,0.07524012806830309
austin1_r1c3,8831,58375,63299,44,8,0,0,21,29,0.05003258272391572
austin1_r1c4,52937,9749,146256,6,2,0,0,27,29,0.012595591542959963
austin1_r2c0,36020,4020,160867,166,37,0,0,12,49,0.09415561879641841
austin1_r2c1,45365,6211,119520,164,45,3,1,12,54,0.12849852269674994
austin1_r2c2,43935,8104,107605,147,35,1,1,13,48,0.12721349175929475
austin1_r2c3,47748,5721,91852,161,51,5,0,8,54,0.1581864861710818
austin1_r2c4,20954,612,142163,44,8,0,0,12,20,0.08423830305490713
austin1_r3c0,46624,6200,165692,177,43,4,0,18,57,0.10799496328759955
austin1_r3c1,74160,9344,97236,153,61,3,0,13,71,0.18713036881217995
austin1_r3c2,51988,7533,104315,163,62,2,2,10,72,0.15496765124619294
austin1_r3c3,32123,3388,84478,127,30,1,0,3,32,0.11671597633136095
austin1_r3c4,20353,2299,118754,122,18,0,0,9,27,0.04926349102925093
austin1_r4c0,29355,3513,139794,121,23,0,0,9,32,0.08868619826129447
austin1_r4c1,53536,6767,115257,121,40,2,0,9,47,0.1608478279136207
austin1_r4c2,29833,7468,109677,125,31,3,0,8,36,0.11022804244750509
austin1_r4c3,39054,3252,111630,140,30,0,0,5,35,0.12030229597075615
austin1_r4c4,38148,4761,143666,156,35,1,1,19,54,0.08359537916652875
austin2_r0c0,27942,5109,73748,49,15,0,1,8,24,0.10139471514108493
austin2_r0c1,59277,8094,165700,88,25,3,1,26,49,0.12762501450284255
austin2_r0c2,125073,9400,61285,49,26,1,3,9,37,0.19535969578088522
austin2_r0c3,24479,3694,102552,77,17,1,1,3,20,0.051004976765927024
austin2_r0c4,12578,2422,282566,152,11,1,0,9,19,0.01128453339134218
austin2_r1c0,42509,6601,77458,39,16,0,0,7,23,0.11376695794090647
austin2_r1c1,77500,11739,146469,44,12,0,0,36,48,0.10310358175649521
austin2_r1c2,34545,2361,129194,77,17,0,0,12,29,0.08759357762017336
austin2_r1c3,6907,770,42392,28,6,0,0,3,9,0.06338479049583837
austin2_r1c4,12123,1022,186261,123,10,0,0,4,14,0.01682459872365113
austin2_r2c0,27617,7551,159363,42,20,0,0,31,51,0.09622607762475408
austin2_r2c1,7432,2624,212932,67,3,0,0,14,17,0.017177566837934338
austin2_r2c2,47581,4775,180734,111,25,1,1,8,33,0.08935459429673509
austin2_r2c3,21302,1604,149059,91,17,0,2,9,28,0.05359148879931276
austin2_r2c4,22216,2587,157409,123,21,0,0,6,27,0.052066199614174025
austin2_r3c0,51197,8024,162543,76,24,0,0,27,51,0.09709297537676027
austin2_r3c1,24521,3770,140149,75,16,0,0,12,28,0.07372103397271852
austin2_r3c2,7919,702,143644,50,8,0,0,4,12,0.0412621359223301
austin2_r3c3,27702,2705,194682,84,16,0,1,8,25,0.0578050768282744
austin2_r3c4,11453,1194,173090,60,4,0,0,4,8,0.029098075585439368
austin2_r4c0,30638,2962,156291,107,21,0,0,24,45,0.08987400651202297
austin2_r4c1,45288,9250,78540,66,21,1,1,7,28,0.10818736625188238
austin2_r4c2,19929,1964,118970,80,17,0,1,1,19,0.08442330558858502
austin2_r4c3,34760,4215,151018,89,27,0,4,11,42,0.06466013253442324
austin2_r4c4,18423,2760,139344,58,11,0,0,16,27,0.025466054939311224
austin3_r0c0,7193,492,56849,14,1,0,0,8,9,0.023964668404286127
