stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,25086,127474,74580,43,13,1,1,18,31,0.05179568319551005
austin1_r0c1,36657,2801,91943,55,20,1,1,14,34,0.11354253965297824
austin1_r0c2,59849,13331,91592,95,26,1,1,13,39,0.12135153316985309
austin1_r0c3,60893,26967,85321,49,26,2,2,28,54,0.07584035558848042
austin1_r0c4,32320,9725,72996,31,12,0,0,12,24,0.03415412144552068
austin1_r1c0,29886,4650,129089,123,29,1,1,25,54,0.08692761897313572
austin1_r1c1,123594,12244,91166,59,17,1,0,11,27,0.12289369966299195
austin1_r1c2,74573,27867,57885,47,21,1,1,14,35,0.12063604625790966
austin1_r1c3,12005,76368,60125,44,7,0,0,22,29,0.043315528870521265
austin1_r1c4,174151,26779,25042,6,6,1,0,4,9,0.03946774921064502
austin1_r2c0,32003,2838,164884,166,29,0,1,16,46,0.08391375287285742
austin1_r2c1,32414,3803,132471,164,32,2,1,18,49,0.09802901673756757
austin1_r2c2,40173,6564,111367,147,33,1,0,21,53,0.09946109482840125
austin1_r2c3,41930,5049,97670,161,42,3,1,13,53,0.13339114667507587
austin1_r2c4,64966,17271,98151,44,15,0,0,15,30,0.1067618556421184
austin1_r3c0,28806,2931,183510,177,31,1,0,11,41,0.07431354580321081
austin1_r3c1,58292,6518,113104,153,52,3,1,15,65,0.1539738646101114
austin1_r3c2,28428,3268,127875,163,37,0,2,16,55,0.10259572582043822
austin1_r3c3,26056,2191,90545,127,28,0,0,8,35,0.10174062882401419
austin1_r3c4,34381,11291,104726,122,26,1,0,18,43,0.06827010847644724
austin1_r4c0,29739,3600,139410,121,24,1,1,12,36,0.08312271833754563
austin1_r4c1,53395,5389,115398,121,40,1,1,17,57,0.15810967309372398
austin1_r4c2,15321,865,124189,125,20,0,0,9,29,0.08249885384745313
austin1_r4c3,30464,2568,120220,140,26,0,0,14,40,0.09505338586856664
austin1_r4c4,28717,3279,153097,156,33,1,0,27,59,0.07276437159575724
austin2_r0c0,22378,3185,79312,49,14,1,0,10,23,0.09503809700799108
austin2_r0c1,85464,9385,139513,88,26,3,2,11,36,0.13321616207430925
austin2_r0c2,122489,12832,63869,49,21,0,0,18,39,0.18500328235551558
austin2_r0c3,43098,13398,83933,77,29,6,0,15,38,0.07007060070841667
austin2_r0c4,55258,16025,239886,152,45,12,3,44,80,0.0407123804267844
austin2_r1c0,41186,6559,78781,39,17,0,0,13,30,0.08037756515576173
austin2_r1c1,165338,34331,58631,44,32,3,0,23,52,0.18604830768636688
austin2_r1c2,38711,3363,125028,77,18,0,0,15,33,0.10083147335115646
austin2_r1c3,5960,1213,43339,28,4,0,0,7,11,0.038189335015065516
austin2_r1c4,32047,5298,166337,123,22,2,1,20,41,0.033982362699729325
austin2_r2c0,144400,56074,42580,42,31,11,0,12,32,0.10712130356065178
austin2_r2c1,90982,25363,129382,67,30,7,1,27,51,0.108649082875887
austin2_r2c2,44331,5845,183984,111,21,1,1,20,41,0.08175300448738888
austin2_r2c3,9170,1090,161191,91,12,0,2,12,26,0.03159061518566414
austin2_r2c4,26790,4355,152835,123,19,1,0,13,31,0.058714277155353184
austin2_r3c0,66307,7948,147433,76,24,1,0,18,41,0.09635014899507577
austin2_r3c1,39086,6903,125584,75,25,1,0,26,50,0.09337512158218957
austin2_r3c2,65397,13145,86166,50,14,0,0,19,33,0.10189212399922432
austin2_r3c3,68710,17395,153674,84,31,2,2,16,47,0.0701789563386636
austin2_r3c4,48274,14116,136269,60,22,1,2,30,53,0.06260541500221926
austin2_r4c0,71174,12843,115755,107,41,1,1,18,59,0.12143748610897404
austin2_r4c1,48406,9340,75422,66,25,2,1,12,36,0.12399505256648113
austin2_r4c2,25133,4071,113766,80,16,0,0,16,32,0.08456330575082359
austin2_r4c3,52947,10054,132831,89,40,1,2,26,67,0.08679921252859904
austin2_r4c4,69131,21921,88636,58,30,5,0,29,54,0.059884407694903816
austin3_r0c0,19443,8482,44599,14,5,0,0,8,13,0.04556508383463458
austin3_r0c1,16483,2199,40094,22,10,0,1,7,18,0.12796469939327082
austin3_r0c2,43724,4151,148366,75,27,0,0,22,49,0.10598907912197882
austin3_r0c3,10669,414,123401,65,10,0,0,9,19,0.03480944958894899
austin3_r0c4,23959,2693,145006,96,20,1,1,16,36,0.06151532980322939
austin3_r1c0,13904,1248,60322,32,10,0,1,8,19,0.07731772090777403
austin3_r1c1,40092,6460,100346,47,14,3,3,11,25,0.08867630097021507
austin3_r1c2,36211,4502,122819,79,23,1,0,10,32,0.09377747386929765
austin3_r1c3,16551,2952,156623,83,16,0,0,16,32,0.03733520273173379
austin3_r1c4,22871,2486,223496,140,18,0,1,12,31,0.052579311341025226
austin3_r2c0,31693,4532,156320,77,22,0,0,10,32,0.061693334256886244
austin3_r2c1,26605,3430,155960,81,15,0,2,12,29,0.07450876004259026
austin3_r2c2,8532,841,119235,71,9,0,0,1,10,0.041348789590144985
austin3_r2c3,35037,3425,181342,116,19,1,0,17,35,0.07215779738190096
